Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
776;24997;13.532;1788.5136950016
777;24998;2.4563;1802.04569458961
778;24999;1.778;1804.50199460983
779;25000;1.8483;1806.27999460697
780;25001;2.3977;1808.12829458714
781;25002;2.2588;1810.52599465847
782;25003;1.8048;1812.78479468822
783;25004;1.8293;1814.58959472179
784;25005;2.7326;1816.41889476776
785;25006;1.9014;1819.15149474144
786;25007;1.7748;1821.05289471149
787;25008;1.9608;1822.82769465446
788;25009;2.0199;1824.78849470615
789;25010;1.9737;1826.8083947897
790;25011;1.7468;1828.78209483624
791;25012;1.7223;1830.52889478207
792;25013;2.1175;1832.25119483471
793;25014;1.9225;1834.36869490147
794;25015;2.1778;1836.29119491577
